================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[01:16:17.167 --> 01:16:17.774] patient_1
[01:16:22.263 --> 01:16:24.710] doctor
[01:16:25.132 --> 01:16:27.950] doctor
[01:16:28.270 --> 01:16:29.907] doctor
[01:16:29.114 --> 01:16:29.570] patient_1
[01:16:31.173 --> 01:16:33.367] doctor
[01:16:33.535 --> 01:16:39.020] doctor
[01:16:39.475 --> 01:16:40.927] doctor
[01:16:41.382 --> 01:17:04.889] patient_1
[01:16:44.048 --> 01:16:44.875] doctor
[01:16:59.877 --> 01:17:02.560] doctor
[01:17:03.944 --> 01:17:04.788] doctor
[01:17:04.889 --> 01:17:18.642] doctor
[01:17:06.003 --> 01:17:06.425] patient_1
[01:17:14.812 --> 01:17:15.487] patient_1
[01:17:16.060 --> 01:17:17.123] patient_1
[01:17:17.714 --> 01:17:27.029] patient_1
[01:17:25.291 --> 01:17:25.831] doctor
[01:17:27.029 --> 01:17:46.942] doctor
[01:17:29.425 --> 01:17:30.083] patient_1
[01:17:30.742 --> 01:17:31.248] patient_1
[01:17:34.538 --> 01:17:36.057] patient_1
[01:17:36.783 --> 01:17:41.677] patient_1
[01:17:42.166 --> 01:17:43.533] patient_1
[01:17:43.634 --> 01:17:44.056] patient_1
[01:17:45.052 --> 01:17:45.878] patient_1
[01:17:46.030 --> 01:17:47.971] patient_1
[01:17:48.224 --> 01:17:55.970] patient_1
[01:17:54.856 --> 01:17:56.543] doctor
[01:17:57.961 --> 01:17:58.957] patient_1
[01:17:58.687 --> 01:17:59.783] doctor
[01:18:00.475 --> 01:18:05.200] doctor
[01:18:02.905 --> 01:18:04.002] patient_1
